# RA DEC VAL WEIGHT SAMPLE
0.582617 0.523333 -0.267049 1 31
0.570351 0.523333 -0.205022 1 31
0.576485 0.529355 -0.123163 1 31
0.551953 0.517332 0.251327 1 31
0.558086 0.523333 0.0103071 1 31
0.545821 0.523333 0.278322 1 31
0.551953 0.529355 0.264221 1 31
0.56422 0.529355 -0.00796938 1 31
0.570351 0.535398 -0.152981 1 31
0.558086 0.535398 0.123413 1 31
0.56422 0.541462 -0.394922 1 31
0.515155 0.505392 -0.056448 1 31
0.521289 0.511352 0.0609494 1 31
0.509024 0.511352 0.404833 1 31
0.515155 0.517332 0.361392 1 31
0.527422 0.517332 0.412863 1 31
0.533554 0.523333 0.0162339 1 31
0.521289 0.523333 0.389191 1 31
0.527422 0.529355 -0.153342 1 31
0.50289 0.517332 0.0290833 1 31
0.509024 0.523333 0.209712 1 31
0.496758 0.523333 0.423103 1 31
0.50289 0.529355 0.114215 1 31
0.515155 0.529355 -0.278314 1 31
0.521289 0.535398 -0.452656 1 31
0.509024 0.535398 -0.481915 1 31
0.539687 0.529355 -0.13043 1 31
0.545821 0.535398 0.00269878 1 31
0.533554 0.535398 -0.1366 1 31
0.539687 0.541462 -0.175266 1 31
0.551953 0.541462 0.059878 1 31
